ano,idFuncao,nomeFuncao,valorPago
2015,1,LEGISLATIVA,427
2015,1,LEGISLATIVA,1235
2015,1,LEGISLATIVA,1750
2015,1,LEGISLATIVA,195.79
2015,1,LEGISLATIVA,525
2015,1,LEGISLATIVA,2792
2015,1,LEGISLATIVA,153.06
2015,1,LEGISLATIVA,1608750
2015,1,LEGISLATIVA,5100
2015,1,LEGISLATIVA,3778.66
2015,1,LEGISLATIVA,2090
2015,1,LEGISLATIVA,3304.99
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,5164
2015,1,LEGISLATIVA,60.49
2015,1,LEGISLATIVA,6323.03
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,1414.5
2015,1,LEGISLATIVA,51380
2015,1,LEGISLATIVA,4068.8
2015,1,LEGISLATIVA,38886.1
2015,1,LEGISLATIVA,7059.28
2015,1,LEGISLATIVA,190.2
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,117
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,139.5
2015,1,LEGISLATIVA,42000
2015,1,LEGISLATIVA,8150.36
2015,1,LEGISLATIVA,860
2015,1,LEGISLATIVA,2987.44
2015,1,LEGISLATIVA,3744
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,46329.7
2015,1,LEGISLATIVA,814
2015,1,LEGISLATIVA,6177.5
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,1705.86
2015,1,LEGISLATIVA,1896350
2015,1,LEGISLATIVA,522
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,1675.2
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,4333.51
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,1560
2015,1,LEGISLATIVA,1722960
2015,1,LEGISLATIVA,108864
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,1357190
2015,1,LEGISLATIVA,125242
2015,1,LEGISLATIVA,1202290
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,4075.74
2015,1,LEGISLATIVA,7912
2015,1,LEGISLATIVA,13335800
2015,1,LEGISLATIVA,4844
2015,1,LEGISLATIVA,176
2015,1,LEGISLATIVA,1015.2
2015,1,LEGISLATIVA,3504.05
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,0
2015,1,LEGISLATIVA,6825
2015,1,LEGISLATIVA,8000
2015,1,LEGISLATIVA,3778
2015,1,LEGISLATIVA,10225.5
2015,1,LEGISLATIVA,6179.7
2015,1,LEGISLATIVA,6997.96
2015,1,LEGISLATIVA,622.82
2015,1,LEGISLATIVA,7672.5
2015,1,LEGISLATIVA,14800
2015,1,LEGISLATIVA,17718.8
2015,1,LEGISLATIVA,20160
2015,1,LEGISLATIVA,81365.1
2015,1,LEGISLATIVA,6540
2015,1,LEGISLATIVA,16400
2015,1,LEGISLATIVA,3336
2015,1,LEGISLATIVA,4596.6
2015,1,LEGISLATIVA,0
2015,2,JUDICIARIA,6993.44
2015,2,JUDICIARIA,4950
2015,2,JUDICIARIA,127889
2015,2,JUDICIARIA,5902.6
2015,2,JUDICIARIA,1624.84
2015,2,JUDICIARIA,0
